Population,BroodYear,EscapementMethod,Spawners,Spawners.std,CoreRecruits,CoreRecruitsPerSpawner,maxT_spawn,wksGT13_spawn,maxP_spawn,RB_spawn,avgT_rear,wksGT15_rear,avgP_rear,medianQ_rear,RB_emerge,breakup,NPGO,maxT_spawn.std.all,avgT_rear.std.all,wksGT13_spawn.std.all,wksGT15_rear.std.all,maxT_spawn.std,avgT_rear.std,wksGT13_spawn.std,wksGT15_rear.std,maxP_spawn.std,avgP_rear.std,medianQ_rear.std,RB_spawn.std,RB_emerge.std,breakup.std,NPGO.std
Anchor,2008,Weir,5806,-0.967098564,3770,0.649328281,12.57737276,0,104.6946549,0.06689799,11.17469783,0,33.8785174,536,0.04194698,119,1.370142293,-0.676127083,-0.409456453,-0.9897494,-0.520544659,-1.166264278,-0.427450908,-1.035998034,-0.377964473,-0.512844276,-0.375066739,0.585384021,-0.99002468,-0.628259776,-1.254373168,0.895164215
Anchor,2009,Weir,3455,-1.640601212,2820,0.816208394,13.49166695,3,78.67948216,0.08764106,10.66928054,0,48.22653466,301,0.1062616,128,0.857256779,-0.303489961,-0.676013596,-0.041921204,-0.520544659,-0.485943449,-0.877285226,-0.129499754,-0.377964473,-1.218345439,1.009793868,-0.796189458,-0.572540123,1.820236074,0.940779876,0.401760217
Campbell,1986,Foot survey,733,-0.096209776,677,0.923601637,12.48338006,0,105.1979505,0.1853568,10.2127783,0,44.63474701,398,0.03239102,117,1.323636763,-0.714435507,-0.916772938,-0.9897494,-0.520544659,-0.689688222,-1.473377039,-0.792886149,0,-0.387198639,-0.815205462,0.457288991,1.930726977,-1.220792464,-0.452990088,0.997656456
Campbell,1987,Foot survey,571,-0.735807377,857,1.500875657,13.12836259,1,97.79841662,0.1128271,10.7327132,0,53.96094037,339,0.03507498,122,0.612240617,-0.451561221,-0.642559205,-0.673806668,-0.520544659,0.076845484,-0.554327752,-0.165184614,0,-0.581436105,-0.006496578,-0.092733497,0.108830671,-1.086714005,0.209072348,0.417991013
Campbell,1989,Foot survey,218,-2.129498447,908,4.165137615,13.00550877,1,129.9377005,0.06941555,11.30968736,0,46.72316964,409,0.06522832,124,-0.498914711,-0.501632513,-0.338262953,-0.673806668,-0.520544659,-0.069160936,0.465545509,-0.165184614,0,0.262218797,-0.634110575,0.559835556,-0.981637684,0.41960999,0.473897322,-0.487409371
Campbell,1990,Foot survey,458,-1.181946445,668,1.458515284,12.69837424,0,199.3828576,0.1907375,10.5155252,0,54.99098686,320,0.04706177,96,-1.09491887,-0.626810745,-0.757104182,-0.9897494,-0.520544659,-0.434176987,-0.938234416,-0.792886149,0,2.085151361,0.082822581,-0.269859383,2.065886469,-0.487908387,-3.233652317,-0.9730502
Campbell,1991,Foot survey,590,-0.660792843,677,1.147457627,11.74625717,0,101.5490719,0.05548937,10.96745174,0,47.6923594,279,0.04327197,124,-1.901992588,-1.014863264,-0.518758068,-0.9897494,-0.520544659,-1.565726744,-0.139398326,-0.792886149,0,-0.482981554,-0.550068529,-0.6520784,-1.331453772,-0.677229592,0.473897322,-1.630676399
Campbell,1992,Foot survey,931,0.685520626,807,0.866809882,12.3912397,0,95.07779413,0.06376169,11.79013353,0,55.26662389,298,0.06967734,121,-1.211598783,-0.751988977,-0.08487558,-0.9897494,-0.520544659,-0.799193037,1.314793585,-0.792886149,0,-0.652852335,0.106724092,-0.474952514,-1.123658768,0.641862835,0.076659861,-1.06812425
Campbell,1993,Foot survey,937,0.709209426,915,0.976520811,13.98833929,4,161.9910434,0.1010461,11.31188118,0,37.91677643,345,0.04144294,119,-1.039208546,-0.101062171,-0.337105933,0.274021528,-0.520544659,1.098890426,0.469423354,1.71791999,0,1.10361775,-1.397745656,-0.036799007,-0.187099967,-0.768599629,-0.188165113,-0.927655872
Campbell,1994,Foot survey,1076,1.257999961,829,0.770446097,13.09764913,1,105.5072765,0.1317976,11.10127464,0,67.3213256,352,0.04564257,124,-0.972836612,-0.464079044,-0.44817985,-0.673806668,-0.520544659,0.040343879,0.097150225,-0.165184614,0,-0.379078846,1.152032075,0.028457899,0.585356616,-0.558805177,0.473897322,-0.873574167
