"","Year","Covar","value","mean","sd","std"
"196",2007,"MEI",-0.292416666666667,0.208311594202899,0.779767929118876,-0.642150365731737
"197",2008,"MEI",-0.639166666666667,0.208311594202899,0.779767929118876,-1.08683395305473
"198",2009,"MEI",0.403416666666667,0.208311594202899,0.779767929118876,0.250209152207932
"199",2010,"MEI",-0.336333333333333,0.208311594202899,0.779767929118876,-0.698470541295114
"200",2011,"MEI",-0.89175,0.208311594202899,0.779767929118876,-1.41075511459666
"201",2012,"MEI",0.176416666666667,0.208311594202899,0.779767929118876,-0.0409031025067577
"202",2013,"MEI",-0.06925,0.208311594202899,0.779767929118876,-0.355954103570967
"203",2014,"MEI",0.51075,0.208311594202899,0.779767929118876,0.387856943717667
"204",2015,"MEI",1.64216666666667,0.208311594202899,0.779767929118876,1.83882283294724
"205",2016,"MEI",0.926833333333334,0.208311594202899,0.779767929118876,0.921455874624585
"206",2017,"MEI",0.143166666666667,0.208311594202899,0.779767929118876,-0.0835439944418388
"207",2018,"MEI",NA,0.208311594202899,0.779767929118876,NA
"208",1950,"MEIw",-1.12,-0.0684782608695652,1.15685006690352,-0.908952481582151
"209",1951,"MEIw",-1.09,-0.0684782608695652,1.15685006690352,-0.883019993995148
"210",1952,"MEIw",0.55,-0.0684782608695652,1.15685006690352,0.534622660761054
"211",1953,"MEIw",-0.1,-0.0684782608695652,1.15685006690352,-0.0272479036240256
"212",1954,"MEIw",0.27,-0.0684782608695652,1.15685006690352,0.29258610994902
"213",1955,"MEIw",-0.73,-0.0684782608695652,1.15685006690352,-0.571830142951103
"214",1956,"MEIw",-1.38,-0.0684782608695652,1.15685006690352,-1.13370070733618
"215",1957,"MEIw",-0.57,-0.0684782608695652,1.15685006690352,-0.433523542487083
"216",1958,"MEIw",1.36,-0.0684782608695652,1.15685006690352,1.23479982561015
"217",1959,"MEIw",0.37,-0.0684782608695652,1.15685006690352,0.379027735239032
"218",1960,"MEIw",-0.02,-0.0684782608695652,1.15685006690352,0.0419053966079842
"219",1961,"MEIw",-0.07,-0.0684782608695652,1.15685006690352,-0.00131541603702194
"220",1962,"MEIw",-0.27,-0.0684782608695652,1.15685006690352,-0.174198666617047
"221",1963,"MEIw",-0.41,-0.0684782608695652,1.15685006690352,-0.295216942023064
"222",1964,"MEIw",0.91,-0.0684782608695652,1.15685006690352,0.845812511805099
"223",1965,"MEIw",-0.82,-0.0684782608695652,1.15685006690352,-0.649627605712114
"224",1966,"MEIw",1.29,-0.0684782608695652,1.15685006690352,1.17429068790715
"225",1967,"MEIw",-0.41,-0.0684782608695652,1.15685006690352,-0.295216942023064
"226",1968,"MEIw",-0.48,-0.0684782608695652,1.15685006690352,-0.355726079726072
"227",1969,"MEIw",0.83,-0.0684782608695652,1.15685006690352,0.776659211573089
"228",1970,"MEIw",0.62,-0.0684782608695652,1.15685006690352,0.595131798464063
"229",1971,"MEIw",-1.29,-0.0684782608695652,1.15685006690352,-1.05590324457517
"230",1972,"MEIw",-0.74,-0.0684782608695652,1.15685006690352,-0.580474305480104
"231",1973,"MEIw",1.9,-0.0684782608695652,1.15685006690352,1.70158460217622
"232",1974,"MEIw",-2.1,-0.0684782608695652,1.15685006690352,-1.75608040942427
"233",1975,"MEIw",-0.62,-0.0684782608695652,1.15685006690352,-0.47674435513209
"234",1976,"MEIw",-1.72,-0.0684782608695652,1.15685006690352,-1.42760223332222
"235",1977,"MEIw",0.74,-0.0684782608695652,1.15685006690352,0.698861748812078
"236",1978,"MEIw",0.91,-0.0684782608695652,1.15685006690352,0.845812511805099
"237",1979,"MEIw",0.06,-0.0684782608695652,1.15685006690352,0.111058696839994
"238",1980,"MEIw",0.62,-0.0684782608695652,1.15685006690352,0.595131798464063
"239",1981,"MEIw",-0.05,-0.0684782608695652,1.15685006690352,0.0159729090209805
"240",1982,"MEIw",0.02,-0.0684782608695652,1.15685006690352,0.0764820467239891
"241",1983,"MEIw",2.38,-0.0684782608695652,1.15685006690352,2.11650440356828
"242",1984,"MEIw",-0.88,-0.0684782608695652,1.15685006690352,-0.701492580886122
"243",1985,"MEIw",-1.21,-0.0684782608695652,1.15685006690352,-0.986749944343162
"244",1986,"MEIw",-0.6,-0.0684782608695652,1.15685006690352,-0.459456030074087
"245",1987,"MEIw",1.09,-0.0684782608695652,1.15685006690352,1.00140743732712
"246",1988,"MEIw",0.87,-0.0684782608695652,1.15685006690352,0.811235861689094
"247",1989,"MEIw",-1.97,-0.0684782608695652,1.15685006690352,-1.64370629654726
"248",1990,"MEIw",-0.06,-0.0684782608695652,1.15685006690352,0.0073287464919793
"249",1991,"MEIw",0.42,-0.0684782608695652,1.15685006690352,0.422248547884038
"250",1992,"MEIw",1.62,-0.0684782608695652,1.15685006690352,1.45954805136419
"251",1993,"MEIw",0.16,-0.0684782608695652,1.15685006690352,0.197500322130006
"252",1994,"MEIw",0.11,-0.0684782608695652,1.15685006690352,0.154279509485
"253",1995,"MEIw",1.16,-0.0684782608695652,1.15685006690352,1.06191657503013
"254",1996,"MEIw",-0.69,-0.0684782608695652,1.15685006690352,-0.537253492835098
"255",1997,"MEIw",-0.43,-0.0684782608695652,1.15685006690352,-0.312505267081066
"256",1998,"MEIw",2.36,-0.0684782608695652,1.15685006690352,2.09921607851028
"257",1999,"MEIw",-1.52,-0.0684782608695652,1.15685006690352,-1.2547189827422
"258",2000,"MEIw",-1.67,-0.0684782608695652,1.15685006690352,-1.38438142067722
"259",2001,"MEIw",-0.9,-0.0684782608695652,1.15685006690352,-0.718780905944124
"260",2002,"MEIw",-0.3,-0.0684782608695652,1.15685006690352,-0.20013115420405
"261",2003,"MEIw",1.2,-0.0684782608695652,1.15685006690352,1.09649322514613
"262",2004,"MEIw",0.29,-0.0684782608695652,1.15685006690352,0.309874435007022
"263",2005,"MEIw",0.64,-0.0684782608695652,1.15685006690352,0.612420123522065
"264",2006,"MEIw",-0.87,-0.0684782608695652,1.15685006690352,-0.69284841835712
"265",2007,"MEIw",0.85,-0.0684782608695652,1.15685006690352,0.793947536631091
"266",2008,"MEIw",-1.7,-0.0684782608695652,1.15685006690352,-1.41031390826422
"267",2009,"MEIw",-0.95,-0.0684782608695652,1.15685006690352,-0.76200171858913
"268",2010,"MEIw",1.62,-0.0684782608695652,1.15685006690352,1.45954805136419
"269",2011,"MEIw",-1.67,-0.0684782608695652,1.15685006690352,-1.38438142067722
"270",2012,"MEIw",-0.99,-0.0684782608695652,1.15685006690352,-0.796578368705135
"271",2013,"MEIw",-0.28,-0.0684782608695652,1.15685006690352,-0.182842829146048
"272",2014,"MEIw",-0.26,-0.0684782608695652,1.15685006690352,-0.165554504088045
"273",2015,"MEIw",0.68,-0.0684782608695652,1.15685006690352,0.64699677363807
"274",2016,"MEIw",2.56,-0.0684782608695652,1.15685006690352,2.2720993290903
"275",2017,"MEIw",1.59,-0.0684782608695652,1.15685006690352,1.43361556377718
"276",2018,"MEIw",NA,-0.0684782608695652,1.15685006690352,NA
"277",1950,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"278",1951,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"279",1952,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"280",1953,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"281",1954,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"282",1955,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"283",1956,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"284",1957,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"285",1958,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"286",1959,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"287",1960,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"288",1961,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"289",1962,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"290",1963,"icecov",NA,0.0664864864864865,1.14039519518507,NA
"291",1964,"icecov",NA,0.0664864864864865,1.14039519518507,NA
