Component,Region,ReturnYear,zReturnYear,Age,Prop
Escapement,Kenai,1993,-0.8221526930009815,Age1.1,0.009265968025173944
Escapement,Kenai,1994,-0.7207571907657445,Age1.1,0.009990617220515719
Escapement,Kenai,1995,-0.6193616885305075,Age1.1,0.010765766547996172
Escapement,Kenai,1996,-0.5179661862952706,Age1.1,0.011594252415569937
Escapement,Kenai,1997,-0.41657068406003356,Age1.1,0.012478998796953729
Escapement,Kenai,1998,-0.3151751818247966,Age1.1,0.0134230126017268
Escapement,Kenai,1999,-0.2137796795895596,Age1.1,0.014429378218939328
Escapement,Kenai,2000,-0.11238417735432261,Age1.1,0.015501251218207281
Escapement,Kenai,2001,-0.010988675119085634,Age1.1,0.016641851201281282
Escapement,Kenai,2002,0.09040682711615135,Age1.1,0.01785445380702467
Escapement,Kenai,2003,0.19180232935138833,Age1.1,0.01914238188350655
Escapement,Kenai,2004,0.2931978315866253,Age1.1,0.020508995852357628
Escapement,Kenai,2005,0.3945933338218623,Age1.1,0.02195768330246632
Escapement,Kenai,2006,0.4959888360570993,Age1.1,0.023491847862292907
Escapement,Kenai,2007,0.5973843382923363,Age1.1,0.02511489741230738
Escapement,Kenai,2008,0.6987798405275732,Age1.1,0.02683023171104407
Escapement,Kenai,2009,0.8001753427628102,Age1.1,0.028641229519731283
Escapement,Kenai,2010,0.9015708449980472,Age1.1,0.03055123532110451
Escapement,Kenai,2011,1.0029663472332842,Age1.1,0.03256354573755724
Escapement,Kenai,2012,1.1043618494685212,Age1.1,0.03468139576194351
Escapement,Kenai,2013,1.205757351703758,Age1.1,0.036907944920861246
Escapement,Kenai,2014,1.3071528539389952,Age1.1,0.039246263494886434
Escapement,Kenai,2015,1.4085483561742322,Age1.1,0.04169931892280712
Escapement,South,1980,-2.140294222059062,Age1.1,4.5677985367441787e-4
Escapement,South,1981,-2.0388987198238255,Age1.1,5.474939789593037e-4
Escapement,South,1982,-1.9375032175885882,Age1.1,6.554961878078889e-4
Escapement,South,1983,-1.8361077153533514,Age1.1,7.839213825756895e-4
Escapement,South,1984,-1.7347122131181143,Age1.1,9.364395975529517e-4
Escapement,South,1985,-1.6333167108828774,Age1.1,0.0011173407198429438
Escapement,South,1986,-1.5319212086476404,Age1.1,0.0013316313329180289
Escapement,South,1987,-1.4305257064124035,Age1.1,0.0015851451531254006
Escapement,South,1988,-1.3291302041771664,Age1.1,0.0018846686436181806
Escapement,South,1989,-1.2277347019419294,Age1.1,0.0022380834929878585
Escapement,South,1990,-1.1263391997066925,Age1.1,0.0026545277280957485
Escapement,South,1991,-1.0249436974714554,Age1.1,0.0031445772798328964
