Area.Fished,Region.SWHS,ChinookHarvestTotal,ReportingGroup_ESSN,ReportingGroup_NSN,ReportingGroup_MS,Population,Comments
Other streams - Chulitna/east Susitna drainage,Susitna River,2692,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Other streams - West Susitna drainage,Susitna River,914,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Others,Susitna River,542,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Peters Creek (Yentna drainage),Susitna River,2827,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Remainder of Yentna River drainage,Susitna River,3774,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Sheep Creek,Susitna River,34088,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Streams and lakes - drainage not specified,Susitna River,294,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Sunshine Creek,Susitna River,7139,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Susitna River,Susitna River,8893,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Talachulitna River (Yentna drainage),Susitna River,11968,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Talkeetna River,Susitna River,192,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
"Talkeetna River and Tributaries;
including Clear Creek",Susitna River,4270,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Talkeetna River and Tributaries; including Clear Creek,Susitna River,44784,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Talkeetna River drainage (excl. Clear Creek),Susitna River,11994,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Troublesome Creek,Susitna River,9,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Unspecified Sites - West Susitna drainages,Susitna River,3832,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Unspecified streams and lakes,Susitna River,57,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Willow Creek,Susitna River,91066,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Willow,
Yentna River,Susitna River,16002,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Alexander Creek,West Cook Inlet,38041,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Alexander,
Alexander Creek/Lake,West Cook Inlet,13565,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Alexander,
Alexander Lake,West Cook Inlet,43,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Alexander,
Beluga Lake,West Cook Inlet,35,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Beluga River,West Cook Inlet,202,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Big River Lakes,West Cook Inlet,1402,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Bulchitna Lake,West Cook Inlet,16,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Chuit River,West Cook Inlet,237,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Chuitna,
Chuitna River,West Cook Inlet,17444,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Chuitna,
Deshka River (Kroto Creek),West Cook Inlet,82443,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,Deshka,
Fish Lake Creek and Fish Lakes (Yentna Drainage),West Cook Inlet,8314,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Judd Lake,West Cook Inlet,6,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Kustatan River,West Cook Inlet,2134,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Lake Creek,West Cook Inlet,45462,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Lewis River,West Cook Inlet,1049,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Lewis,
Moose Creek,West Cook Inlet,125,Cook Inlet other_ESSN,Susitna/Matanuska,Cook Inlet other_MS,,This is apparently the Moose Creek in the Matanuska drainage; not in the Deshka (because ADFG sport harvest numbers for the Deshka don't include these numbers)
Olsen Creek,West Cook Inlet,175,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other lakes,West Cook Inlet,439,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Lakes,West Cook Inlet,174,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other or unspecified streams,West Cook Inlet,663,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Rivers,West Cook Inlet,244,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Sites - South of north Forelands,West Cook Inlet,100,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Sites - South of North Forelands,West Cook Inlet,25,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Sites - Susitna River Drainages,West Cook Inlet,1251,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Other Sites - Susitna to North Forelands,West Cook Inlet,573,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Sites - Susitna to West Forelands,West Cook Inlet,408,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other sites south of North Forelands,West Cook Inlet,3328,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Other Streams,West Cook Inlet,8712,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Peters Creek,West Cook Inlet,3272,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Rabideux Creek,West Cook Inlet,90,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Silver Salmon Creek,West Cook Inlet,1418,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Sites between North Forelands and Susitna drainage,West Cook Inlet,4170,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Susitna River,West Cook Inlet,434,Cook Inlet other_ESSN,Susitna/Matanuska,West/Susitna,,
Talachulitna River,West Cook Inlet,7104,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Theodore River,West Cook Inlet,10889,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,Theodore,
Wolverine Creek mouth,West Cook Inlet,63,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
Yentna River,West Cook Inlet,2831,Cook Inlet other_ESSN,UCI Northwest,West/Susitna,,
