Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Campbell,1996,369,Single foot survey,NA,369,369,369,369,680,682,682,682,5,670,672,672,672,3,1.848238482384824,1.8211382113821137
Campbell,1997,1119,Single foot survey,NA,1119,1119,1119,1119,722,726,726,726,5,714,717,717,717,3,0.6487935656836461,0.6407506702412868
Campbell,1998,761,Single foot survey,NA,761,761,761,761,783,861,861,861,5,773,850,850,850,3,1.1314060446780552,1.1169513797634691
Campbell,1999,1035,Single foot survey,NA,1035,1035,1035,1035,913,1086,1086,1086,5,901,1075,1075,1075,3,1.0492753623188407,1.038647342995169
Campbell,2e3,591,Single foot survey,NA,591,591,591,591,1021,1145,1145,1145,5,1010,1134,1134,1134,3,1.9373942470389172,1.9187817258883249
Campbell,2001,717,Single foot survey,NA,717,717,717,717,942,996,996,996,5,927,978,978,978,3,1.389121338912134,1.3640167364016735
Campbell,2002,744,Single foot survey,NA,744,744,744,744,691,739,739,739,5,672,718,718,718,3,0.9932795698924731,0.9650537634408602
Campbell,2003,745,Single foot survey,NA,745,745,745,745,508,534,534,534,5,488,514,514,514,3,0.7167785234899329,0.6899328859060403
Campbell,2004,964,Single foot survey,NA,964,964,964,964,458,470,470,470,5,445,456,456,456,3,0.487551867219917,0.4730290456431535
Campbell,2005,1097,Single foot survey,NA,1097,1097,1097,1097,NA,NA,NA,NA,NA,354,372,372,372,3,NA,0.3391066545123063
Campbell,2006,1052,Single foot survey,NA,1052,1052,1052,1052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2007,588,Single foot survey,NA,588,588,588,588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2008,439,Single foot survey,NA,439,439,439,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2009,554,Single foot survey,NA,554,554,554,554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2010,290,Single foot survey,NA,290,290,290,290,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2011,260,Single foot survey,NA,260,260,260,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2014,274,Single foot survey,NA,274,274,274,274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Campbell,2015,654,Single foot survey,NA,654,654,654,654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
