"","Site","Year","Max.temp"
"296","Slikok",1992,11.3127073493276
"297","Soldotna",1992,12.9442495522793
"298","Theodore",1992,13.6927178348515
"299","Willow",1992,12.9380301474035
"300","Alexander",1993,18.9578074411833
"301","Anchor",1993,15.2009995650057
"302","Beaver",1993,14.4376931712889
"303","Chuitna",1993,16.6382662599896
"304","Crooked",1993,13.6443126714979
"305","Deep",1993,15.8135090894304
"306","Deshka",1993,19.4330931152435
"307","EF Chulitna",1993,10.3756973513292
"308","Funny",1993,12.3916262382837
"309","Hidden",1993,15.5859415855996
"310","Kenai R at Cooper Landing",1993,10.7388780583226
"311","Kenai R at Skilak",1993,13.4394691996844
"312","Kenai R at Soldotna",1993,13.1239718834861
"313","Little Willow",1993,14.4446770936868
"314","Montana",1993,14.2772305405479
"315","Moose",1993,15.7749338581792
"316","NF Campbell",1993,14.0227191616327
"317","Ninilchik",1993,15.0933360352038
"318","Quartz",1993,9.50244931887701
"319","Slikok",1993,12.6576622642477
"320","Soldotna",1993,14.5157615147089
"321","Theodore",1993,14.6167151820045
"322","Willow",1993,13.7929210541267
"323","Alexander",1994,18.295951676714
"324","Anchor",1994,14.9624880374446
"325","Beaver",1994,13.6681125684171
"326","Chuitna",1994,16.0231400715546
"327","Crooked",1994,12.8638769464417
"328","Deep",1994,15.5410766800666
"329","Deshka",1994,18.7459030214827
"330","EF Chulitna",1994,9.99231166256378
"331","Funny",1994,11.6409333417579
"332","Hidden",1994,14.9366727266623
"333","Kenai R at Cooper Landing",1994,10.2056534883315
"334","Kenai R at Skilak",1994,12.7707562005403
"335","Kenai R at Soldotna",1994,12.5344937547012
"336","Little Willow",1994,13.9468201833299
"337","Montana",1994,13.813648851566
"338","Moose",1994,14.8529529303563
"339","NF Campbell",1994,13.1285643752294
"340","Ninilchik",1994,14.8542767823552
"341","Quartz",1994,9.09450864483718
"342","Slikok",1994,11.9851848067877
"343","Soldotna",1994,13.7300055334941
"344","Theodore",1994,14.1407165486227
"345","Willow",1994,13.352522708239
"346","Alexander",1995,17.3226343760239
"347","Anchor",1995,13.6506746358582
"348","Beaver",1995,13.0588612578104
"349","Chuitna",1995,15.1185427356208
"350","Crooked",1995,12.2460319974389
"351","Deep",1995,14.042698428566
"352","Deshka",1995,17.7353293541873
"353","EF Chulitna",1995,9.42850917908517
"354","Funny",1995,11.046634798675
"355","Hidden",1995,14.4226682133369
"356","Kenai R at Cooper Landing",1995,9.78351737042191
"357","Kenai R at Skilak",1995,12.2413584095511
"358","Kenai R at Soldotna",1995,12.0678235694132
"359","Little Willow",1995,13.2146776680992
"360","Montana",1995,13.1319110736515
"361","Moose",1995,14.1230513624965
