,Site,Year,maxTemp,wksGT15,wksGT21,wksGT13
507,Funny,2005,11.98500092,0,0,0
508,Funny,2006,11.85988544,0,0,0
509,Funny,2007,11.60965447,0,0,0
510,Funny,2008,11.20302915,0,0,0
511,Funny,2009,11.67221221,0,0,0
512,Funny,2010,12.1101164,0,0,0
513,Funny,2011,10.38977851,0,0,0
514,Funny,2012,10.2959419,0,0,0
515,Funny,2013,11.98500092,0,0,0
516,Funny,2014,12.23523188,0,0,0
517,Funny,2015,12.48546285,0,0,0
518,Funny,2016,12.70441495,0,0,0
519,Kenai R at Cooper Landing,1980,9.841158143,0,0,0
520,Kenai R at Cooper Landing,1981,9.939942414,0,0,0
521,Kenai R at Cooper Landing,1982,8.952099705,0,0,0
522,Kenai R at Cooper Landing,1983,11.1006576,0,0,0
523,Kenai R at Cooper Landing,1984,10.21159916,0,0,0
524,Kenai R at Cooper Landing,1985,9.569501398,0,0,0
525,Kenai R at Cooper Landing,1986,9.075580044,0,0,0
526,Kenai R at Cooper Landing,1987,10.38447163,0,0,0
527,Kenai R at Cooper Landing,1988,9.816462075,0,0,0
528,Kenai R at Cooper Landing,1989,10.06342275,0,0,0
529,Kenai R at Cooper Landing,1990,9.76706994,0,0,0
530,Kenai R at Cooper Landing,1991,9.371932857,0,0,0
531,Kenai R at Cooper Landing,1992,9.76706994,0,0,0
532,Kenai R at Cooper Landing,1993,10.95248119,0,0,0
533,Kenai R at Cooper Landing,1994,10.35977557,0,0,0
534,Kenai R at Cooper Landing,1995,9.890550279,0,0,0
535,Kenai R at Cooper Landing,1996,9.643589601,0,0,0
536,Kenai R at Cooper Landing,1997,11.07596153,0,0,0
537,Kenai R at Cooper Landing,1998,9.692981737,0,0,0
538,Kenai R at Cooper Landing,1999,10.58204017,0,0,0
539,Kenai R at Cooper Landing,2000,9.495413195,0,0,0
540,Kenai R at Cooper Landing,2001,10.11281489,0,0,0
541,Kenai R at Cooper Landing,2002,9.915246346,0,0,0
542,Kenai R at Cooper Landing,2003,10.92778512,0,0,0
543,Kenai R at Cooper Landing,2004,11.39701041,0,0,0
544,Kenai R at Cooper Landing,2005,10.63143231,0,0,0
545,Kenai R at Cooper Landing,2006,10.53264804,0,0,0
546,Kenai R at Cooper Landing,2007,10.3350795,0,0,0
547,Kenai R at Cooper Landing,2008,10.01403062,0,0,0
548,Kenai R at Cooper Landing,2009,10.38447163,0,0,0
549,Kenai R at Cooper Landing,2010,10.73021658,0,0,0
550,Kenai R at Cooper Landing,2011,9.371932857,0,0,0
551,Kenai R at Cooper Landing,2012,9.297844653,0,0,0
552,Kenai R at Cooper Landing,2013,10.63143231,0,0,0
553,Kenai R at Cooper Landing,2014,10.82900085,0,0,0
554,Kenai R at Cooper Landing,2015,11.02656939,0,0,0
555,Kenai R at Cooper Landing,2016,11.19944187,0,0,0
556,Kenai R at Skilak,1980,12.29093911,0,0,0
557,Kenai R at Skilak,1981,12.40608884,0,0,0
558,Kenai R at Skilak,1982,11.25459157,0,0,0
559,Kenai R at Skilak,1983,13.75909813,0,0,2
560,Kenai R at Skilak,1984,12.72275059,0,0,0
561,Kenai R at Skilak,1985,11.97427736,0,0,0
562,Kenai R at Skilak,1986,11.39852872,0,0,0
563,Kenai R at Skilak,1987,12.92426261,0,0,0
564,Kenai R at Skilak,1988,12.26215168,0,0,0
565,Kenai R at Skilak,1989,12.550026,0,0,0
566,Kenai R at Skilak,1990,12.20457681,0,0,0
567,Kenai R at Skilak,1991,11.74397791,0,0,0
568,Kenai R at Skilak,1992,12.20457681,0,0,0
569,Kenai R at Skilak,1993,13.58637354,0,0,2
570,Kenai R at Skilak,1994,12.89547518,0,0,0
571,Kenai R at Skilak,1995,12.34851397,0,0,0
572,Kenai R at Skilak,1996,12.06063966,0,0,0
573,Kenai R at Skilak,1997,13.7303107,0,0,4
574,Kenai R at Skilak,1998,12.11821452,0,0,0
575,Kenai R at Skilak,1999,13.15456206,0,0,1
576,Kenai R at Skilak,2000,11.88791506,0,0,0
577,Kenai R at Skilak,2001,12.60760086,0,0,0
578,Kenai R at Skilak,2002,12.3773014,0,0,0
579,Kenai R at Skilak,2003,13.55758611,0,0,4
580,Kenai R at Skilak,2004,14.10454731,0,0,6
581,Kenai R at Skilak,2005,13.21213693,0,0,1
582,Kenai R at Skilak,2006,13.0969872,0,0,1
583,Kenai R at Skilak,2007,12.86668774,0,0,0
584,Kenai R at Skilak,2008,12.49245113,0,0,0
585,Kenai R at Skilak,2009,12.92426261,0,0,0
586,Kenai R at Skilak,2010,13.32728665,0,0,2
587,Kenai R at Skilak,2011,11.74397791,0,0,0
588,Kenai R at Skilak,2012,11.65761561,0,0,0
589,Kenai R at Skilak,2013,13.21213693,0,0,1
590,Kenai R at Skilak,2014,13.44243638,0,0,1
591,Kenai R at Skilak,2015,13.67273583,0,0,1
592,Kenai R at Skilak,2016,13.87424786,0,0,4
593,Kenai R at Soldotna,1980,12.05404793,0,0,0
594,Kenai R at Soldotna,1981,12.15557865,0,0,0
595,Kenai R at Soldotna,1982,11.14027143,0,0,0
596,Kenai R at Soldotna,1983,13.34856463,0,0,2
597,Kenai R at Soldotna,1984,12.43478814,0,0,0
598,Kenai R at Soldotna,1985,11.77483845,0,0,0
599,Kenai R at Soldotna,1986,11.26718484,0,0,0
600,Kenai R at Soldotna,1987,12.6124669,0,0,0
601,Kenai R at Soldotna,1988,12.02866525,0,0,0
602,Kenai R at Soldotna,1989,12.28249205,0,0,0
603,Kenai R at Soldotna,1990,11.97789989,0,0,0
