Population,BroodYear,EscapeIndex,EscapementMethod,WeirRemovals,Spawners1,Spawners2.min,Spawners2.nom,Spawners2.max,Recruits1,Recruits2.min,Recruits2.nom,Recruits2.max,NumAgeClasses,CoreRecruits1,CoreRecruits2.min,CoreRecruits2.nom,CoreRecruits2.max,NumCoreAgeClasses,RecruitsPerSpawner,CoreRecruitsPerSpawner
Deep,1981,427,Single aerial survey,NA,427,712,949,1423,1014,2390,2953,4080,5,992,2318,2870,3973,3,3.1116965226554267,3.024236037934668
Deep,1982,977,Single aerial survey,NA,977,1628,2171,3257,945,2502,3026,4076,5,891,2362,2857,3847,3,1.3938277291570704,1.3159834177798249
Deep,1983,550,Single aerial survey,NA,550,917,1222,1833,540,1585,1886,2486,5,522,1494,1784,2364,3,1.5433715220949265,1.4599018003273323
Deep,1984,380,Single aerial survey,NA,380,633,844,1267,331,1426,1610,1979,5,317,1353,1529,1881,3,1.9075829383886256,1.811611374407583
Deep,1985,644,Single aerial survey,NA,644,1073,1431,2147,338,1873,2060,2436,5,332,1826,2011,2380,3,1.4395527603074774,1.4053109713487073
Deep,1986,976,Single aerial survey,NA,976,1627,2169,3253,203,1732,1845,2071,5,183,1611,1713,1916,3,0.8506224066390041,0.7897648686030428
Deep,1987,968,Single aerial survey,NA,968,1613,2151,3227,360,2677,2877,3277,5,348,2584,2778,3164,3,1.3375174337517435,1.2914923291492328
Deep,1988,409,Single aerial survey,NA,409,682,909,1363,375,2977,3185,3601,5,363,2897,3098,3501,3,3.5038503850385037,3.408140814081408
Deep,1989,561,Single aerial survey,NA,561,935,1247,1870,253,1869,2010,2291,5,249,1803,1941,2217,3,1.61186848436247,1.5565356856455492
Deep,1990,347,Single aerial survey,NA,347,578,771,1157,174,1202,1299,1492,5,167,1149,1242,1427,3,1.6848249027237354,1.6108949416342413
Deep,1991,294,Single aerial survey,NA,294,490,653,980,181,1334,1434,1635,5,168,1282,1375,1562,3,2.196018376722818,2.105666156202144
Deep,1992,63,Single aerial survey,NA,63,105,140,210,411,1800,2028,2484,5,390,1741,1957,2390,3,14.485714285714286,13.978571428571428
Deep,1993,486,Single aerial survey,NA,486,810,1080,1620,597,1578,1909,2572,5,591,1549,1877,2534,3,1.7675925925925926,1.737962962962963
Deep,1994,364,Single aerial survey,NA,364,607,809,1213,814,2110,2562,3466,5,806,2067,2514,3409,3,3.1668726823238567,3.107540173053152
Deep,1995,229,Single aerial survey,NA,229,382,509,763,866,2389,2870,3833,5,840,2327,2793,3727,3,5.638506876227898,5.487229862475442
Deep,1996,193,Single aerial survey,NA,193,322,429,643,424,1132,1367,1838,5,412,1105,1334,1791,3,3.1864801864801864,3.1095571095571097
Deep,1997,136,Single aerial survey,NA,136,227,302,453,695,1744,2130,2902,5,676,1684,2060,2811,3,7.052980132450331,6.821192052980132
